,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
CityMPG+,33.83,33.83,33.83,33.83,32.8,33.83,32.8,32.8,32.8,33.83,32.8,33.83,33.83,33.83,32.8,32.8,33.83,33.83,33.83,33.83
HighwayMPG+,38.83,38.83,38.83,38.83,37.2,38.83,37.2,37.2,37.2,38.83,37.2,38.83,38.83,38.83,37.2,37.2,38.83,38.83,38.83,38.83
Weight-,2212.5,2212.5,2212.5,2212.5,2112.0,2212.5,2112.0,2112.0,2112.0,2212.5,2112.0,2212.5,2212.5,2212.5,2112.0,2112.0,2212.5,2212.5,2212.5,2212.5
Class-,9.6,9.6,9.6,9.6,9.8,9.6,9.8,9.8,9.8,9.6,9.8,9.6,9.6,9.6,9.8,9.8,9.6,9.6,9.6,9.6
