,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Kloc+,131.78,81.24,61.41,70.25,54.04,131.78,67.34,70.25,119.15,61.41,72.51,88.87,88.87,75.95,72.51,104.09,78.62,81.24,75.95,70.25
Effort-,876.12,323.25,402.47,269.16,346.86,876.12,315.24,269.16,734.08,402.47,255.97,1341.27,1341.27,352.68,255.97,776.7,370.16,323.25,352.68,269.16
Defects-,5407.41,2796.78,2177.76,2694.1,2458.64,5407.41,2523.34,2694.1,4415.15,2177.76,2516.93,3924.47,3924.47,2739.49,2516.93,3538.5,3120.78,2796.78,2739.49,2694.1
Months-,29.02,20.66,19.48,20.95,21.21,29.02,20.48,20.95,30.25,19.48,22.17,28.95,28.95,20.92,22.17,26.14,19.63,20.66,20.92,20.95
