,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
MRE-,82.73,81.91,81.91,81.96,81.67,81.96,82.81,82.66,82.66,82.81,82.66,81.96,81.67,81.67,81.73,81.83,81.73,82.49,81.91,81.73
ACC+,5.04,5.27,5.27,5.25,5.35,5.25,5.05,5.03,5.03,5.05,5.03,5.25,5.35,5.35,5.26,5.35,5.26,5.06,5.27,5.26
PRED40+,20.99,23.0,23.0,22.15,22.8,22.15,22.7,22.07,22.07,22.7,22.07,22.15,22.8,22.8,22.86,21.89,22.86,21.86,23.0,22.86
