,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
MRE-,89.47,89.47,35.96,89.47,89.47,35.96,89.47,89.47,89.47,89.47,89.47,89.47,89.47,89.47,89.47,89.47,89.47,89.47,89.47,89.47
ACC+,-8.7,-8.7,-0.46,-8.7,-8.7,-0.46,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7
PRED40+,20.35,20.35,53.85,20.35,20.35,53.85,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35
