,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
CityMPG+,29.86,29.86,29.86,29.86,24.16,29.86,24.16,24.16,24.16,29.86,24.16,29.86,29.86,29.86,24.16,24.16,29.86,29.86,29.86,29.86
HighwayMPG+,35.48,35.48,35.48,35.48,30.64,35.48,30.64,30.64,30.64,35.48,30.64,35.48,35.48,35.48,30.64,30.64,35.48,35.48,35.48,35.48
Weight-,2312.86,2312.86,2312.86,2312.86,2812.79,2312.86,2812.79,2812.79,2812.79,2312.86,2812.79,2312.86,2312.86,2312.86,2812.79,2812.79,2312.86,2312.86,2312.86,2312.86
Class-,10.17,10.17,10.17,10.17,17.24,10.17,17.24,17.24,17.24,10.17,17.24,10.17,10.17,10.17,17.24,17.24,10.17,10.17,10.17,10.17
