,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
LOC+,984.23,989.94,1055.48,989.94,992.6,992.6,989.94,989.94,989.94,1055.48,1045.78,1055.48,989.94,989.94,992.6,989.94,989.94,989.94,989.94,992.6
AEXP-,2.94,2.96,2.93,2.96,2.97,2.97,2.96,2.96,2.96,2.93,2.95,2.93,2.96,2.96,2.97,2.96,2.96,2.96,2.96,2.97
PLEX-,3.06,3.01,3.11,3.01,2.96,2.96,3.01,3.01,3.01,3.11,3.06,3.11,3.01,3.01,2.96,3.01,3.01,3.01,3.01,2.96
RISK-,7.73,10.0,6.43,10.0,6.55,6.55,10.0,10.0,10.0,6.43,6.45,6.43,10.0,10.0,6.55,10.0,10.0,10.0,10.0,6.55
EFFORT-,36546.25,35395.17,35877.51,35395.17,37330.05,37330.05,35395.17,35395.17,35395.17,35877.51,29893.28,35877.51,35395.17,35395.17,37330.05,35395.17,35395.17,35395.17,35395.17,37330.05
