,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Lbs-,1773.77,1969.67,2007.67,1969.67,1773.77,2007.67,2007.67,1773.77,1773.77,2007.67,1773.77,1773.77,2077.54,1773.77,2007.67,1969.67,1773.77,2007.67,2007.67,2007.67
Acc+,17.12,17.2,18.02,17.2,17.12,18.02,18.02,17.12,17.12,18.02,17.12,17.12,17.68,17.12,18.02,17.2,17.12,18.02,18.02,18.02
Mpg+,34.62,33.33,33.33,33.33,34.62,33.33,33.33,34.62,34.62,33.33,34.62,34.62,33.85,34.62,33.33,33.33,34.62,33.33,33.33,33.33
