,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
PSNR-,46.19,42.51,42.59,42.51,44.45,44.49,47.46,0.0,43.02,42.41,46.19,46.19,44.47,42.51,43.86,44.43,46.2,44.47,0.0,44.45
Energy-,757.47,2066.1,2001.42,2066.13,1426.44,1480.34,899.55,0.0,2065.72,2040.7,756.42,756.86,1426.85,2065.66,2755.23,1452.28,756.9,1414.32,0.0,1426.26
