,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Lbs-,2398.5,2398.5,2398.5,2398.5,2398.5,2398.5,2398.5,2162.54,2398.5,2398.5,2398.5,2398.5,2398.5,2398.5,2398.5,2398.5,2398.5,2398.5,2398.5,2398.5
Acc+,13.25,13.25,13.25,13.25,13.25,13.25,13.25,16.61,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25
Mpg+,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.76,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
