,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
MRE-,72.45,72.32,72.32,72.67,72.34,72.12,70.8,72.83,72.83,70.8,72.47,72.12,72.34,72.91,73.84,72.84,73.84,73.17,72.32,73.82
ACC+,7.95,8.15,8.15,8.05,8.02,8.22,8.72,7.92,7.92,8.72,7.93,8.22,8.02,7.8,7.5,8.19,7.5,7.75,8.15,7.38
PRED40+,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.64,25.0,25.0,25.0,25.16
