,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
PSNR-,40.99,38.37,38.47,38.54,38.13,40.17,41.4,40.82,38.7,38.27,40.36,41.29,38.37,37.95,32.82,41.23,40.13,41.51,34.3,38.18
Energy-,519.45,1002.24,1166.47,1154.43,1010.44,498.43,463.72,623.19,1098.27,1289.11,498.29,446.58,994.94,1018.15,434.38,484.23,459.74,679.76,533.87,976.48
