,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NUMBERITERATIONS-,59.21,47.13,10.31,59.21,42.64,12.48,16.83,22.2,12.48,59.19,16.83,10.31,47.13,20.22,37.1,10.31,132.11,132.11,42.64,42.64
TIMETOSOLUTION-,944.21,747.33,174.28,944.21,711.07,168.54,284.97,367.39,168.54,973.78,284.97,174.28,747.33,337.26,618.59,174.28,2119.98,2119.98,711.07,711.07
