,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NUMBERITERATIONS-,4.75,6.66,6.44,5.4,5.27,7.1,5.81,6.49,6.35,6.03,5.61,5.13,6.82,6.86,5.03,5.1,4.36,4.36,5.48,6.35
TIMETOSOLUTION-,92.31,74.77,76.15,83.97,109.94,93.5,89.46,84.03,56.6,107.43,97.78,81.84,127.64,86.79,84.19,126.73,96.56,96.56,109.52,80.98
